True phone,Predicted phone
m,"[('m', 40), ('n', 34), ('ng', 6), ('bcl', 6), ('dcl', 4)]"
tcl,"[('tcl', 58), ('s', 15), ('pcl', 7), ('kcl', 6), ('dcl', 3)]"
dh,"[('dh', 34), ('d', 13), ('v', 10), ('b', 9), ('tcl', 8)]"
dh,"[('v', 45), ('dh', 22), ('gcl', 6), ('bcl', 5), ('tcl', 5)]"
w,"[('w', 81), ('l', 5), ('v', 5), ('el', 4), ('ao', 4)]"
bcl,"[('bcl', 59), ('dcl', 35), ('tcl', 3), ('gcl', 1), ('pcl', 1)]"
tcl,"[('tcl', 57), ('pcl', 14), ('dcl', 6), ('kcl', 5), ('bcl', 5)]"
ae,"[('ae', 35), ('aa', 20), ('r', 14), ('ay', 5), ('axr', 4)]"
z,"[('s', 22), ('z', 18), ('sh', 17), ('jh', 15), ('tcl', 9)]"
axr,"[('r', 43), ('axr', 32), ('er', 22), ('v', 2), ('dx', 1)]"
ay,"[('aa', 42), ('ay', 28), ('ao', 14), ('aw', 4), ('oy', 4)]"
ay,"[('ay', 18), ('ey', 14), ('ae', 12), ('ix', 11), ('eh', 8)]"
n,"[('n', 23), ('ix', 12), ('dh', 9), ('nx', 7), ('ax', 5)]"
kcl,"[('tcl', 37), ('pcl', 31), ('kcl', 21), ('bcl', 6), ('dcl', 3)]"
gcl,"[('bcl', 40), ('dcl', 23), ('gcl', 16), ('kcl', 5), ('v', 4)]"
bcl,"[('dcl', 40), ('bcl', 16), ('n', 11), ('gcl', 10), ('tcl', 5)]"
ah,"[('aa', 40), ('ao', 14), ('l', 9), ('ah', 7), ('ax', 7)]"
axr,"[('r', 28), ('v', 14), ('w', 10), ('ax', 9), ('ao', 8)]"
r,"[('r', 51), ('axr', 23), ('er', 20), ('q', 2), ('eh', 2)]"
s,"[('s', 55), ('z', 34), ('th', 3), ('tcl', 3), ('t', 2)]"
dcl,"[('dcl', 44), ('bcl', 16), ('m', 10), ('n', 8), ('dh', 6)]"
ay,"[('ay', 38), ('aa', 19), ('ah', 17), ('aw', 7), ('ae', 6)]"
b,"[('p', 55), ('b', 15), ('t', 8), ('k', 6), ('dh', 5)]"
k,"[('k', 36), ('kcl', 19), ('f', 12), ('sh', 11), ('t', 11)]"
dcl,"[('dcl', 83), ('tcl', 7), ('dx', 4), ('bcl', 2), ('n', 2)]"
f,"[('f', 64), ('s', 8), ('th', 7), ('v', 5), ('pcl', 5)]"
tcl,"[('kcl', 17), ('tcl', 13), ('p', 12), ('v', 11), ('pcl', 11)]"
p,"[('f', 50), ('dh', 15), ('b', 11), ('th', 6), ('t', 4)]"
b,"[('p', 33), ('b', 31), ('dh', 9), ('v', 4), ('pcl', 4)]"
aa,"[('aa', 47), ('ay', 22), ('ao', 12), ('aw', 4), ('ae', 3)]"
b,"[('dh', 29), ('b', 17), ('p', 12), ('d', 11), ('v', 9)]"
gcl,"[('pcl', 55), ('tcl', 24), ('dcl', 12), ('bcl', 4), ('kcl', 3)]"
b,"[('b', 26), ('v', 18), ('dx', 14), ('ax', 6), ('ix', 6)]"
k,"[('t', 44), ('k', 18), ('p', 13), ('d', 9), ('g', 5)]"
m,"[('n', 16), ('dh', 13), ('m', 12), ('dcl', 11), ('v', 10)]"
ih,"[('ih', 28), ('ix', 14), ('eh', 12), ('iy', 9), ('ey', 7)]"
ix,"[('ix', 24), ('ih', 20), ('iy', 17), ('dx', 9), ('ey', 9)]"
ey,"[('iy', 19), ('ey', 17), ('hv', 14), ('ix', 10), ('l', 10)]"
th,"[('f', 23), ('s', 23), ('tcl', 12), ('pcl', 10), ('th', 8)]"
v,"[('r', 16), ('ax', 10), ('m', 8), ('n', 7), ('ix', 7)]"
iy,"[('iy', 39), ('n', 22), ('y', 13), ('gcl', 4), ('ix', 4)]"
kcl,"[('tcl', 27), ('f', 21), ('pcl', 10), ('kcl', 8), ('s', 6)]"
eh,"[('ax', 21), ('ah', 18), ('eh', 8), ('l', 7), ('ow', 7)]"
hv,"[('iy', 14), ('gcl', 11), ('y', 11), ('dcl', 10), ('hv', 10)]"
aa,"[('ao', 29), ('aa', 27), ('ah', 16), ('ay', 9), ('l', 5)]"
k,"[('k', 71), ('t', 18), ('d', 4), ('hh', 2), ('sh', 1)]"
iy,"[('iy', 51), ('ey', 10), ('ih', 9), ('q', 7), ('ix', 7)]"
iy,"[('iy', 72), ('y', 10), ('ey', 8), ('ih', 6), ('q', 2)]"
dcl,"[('dcl', 55), ('bcl', 22), ('gcl', 11), ('tcl', 9), ('kcl', 2)]"
s,"[('s', 51), ('z', 43), ('th', 3), ('v', 1), ('tcl', 1)]"
tcl,"[('pcl', 49), ('tcl', 22), ('kcl', 20), ('f', 7), ('v', 1)]"
dx,"[('aa', 22), ('ax', 15), ('ow', 9), ('ae', 9), ('q', 7)]"
z,"[('s', 68), ('z', 23), ('sh', 3), ('jh', 2), ('tcl', 2)]"
iy,"[('ix', 22), ('ih', 15), ('iy', 13), ('hv', 8), ('q', 7)]"
g,"[('g', 49), ('k', 42), ('dx', 2), ('hh', 2), ('l', 1)]"
ay,"[('ay', 48), ('ae', 27), ('eh', 7), ('ah', 6), ('aa', 4)]"
el,"[('w', 30), ('l', 17), ('ao', 7), ('el', 7), ('ow', 6)]"
k,"[('k', 75), ('p', 7), ('hh', 7), ('g', 5), ('b', 2)]"
p,"[('b', 24), ('dh', 16), ('p', 16), ('v', 14), ('d', 8)]"
tcl,"[('z', 39), ('tcl', 19), ('s', 15), ('kcl', 7), ('dcl', 6)]"
pcl,"[('pcl', 55), ('tcl', 32), ('kcl', 5), ('dcl', 4), ('bcl', 3)]"
n,"[('n', 52), ('m', 18), ('gcl', 9), ('ng', 6), ('tcl', 2)]"
sh,"[('sh', 60), ('jh', 12), ('ch', 12), ('tcl', 7), ('t', 4)]"
zh,"[('sh', 47), ('jh', 24), ('ch', 16), ('tcl', 5), ('z', 3)]"
ow,"[('ax', 24), ('ow', 20), ('ah', 19), ('l', 14), ('eh', 3)]"
kcl,"[('pcl', 30), ('tcl', 28), ('kcl', 27), ('dcl', 5), ('gcl', 4)]"
iy,"[('iy', 62), ('ix', 9), ('y', 7), ('n', 4), ('ih', 3)]"
aa,"[('k', 27), ('aa', 21), ('ay', 10), ('p', 9), ('g', 8)]"
axr,"[('axr', 29), ('er', 27), ('r', 20), ('eh', 14), ('ih', 4)]"
d,"[('pcl', 37), ('tcl', 32), ('kcl', 10), ('dcl', 6), ('f', 6)]"
k,"[('b', 27), ('p', 24), ('k', 10), ('v', 10), ('g', 7)]"
ih,"[('ih', 19), ('iy', 19), ('ix', 18), ('ey', 15), ('hv', 7)]"
f,"[('f', 88), ('pcl', 2), ('dh', 2), ('bcl', 2), ('s', 2)]"
w,"[('w', 68), ('l', 12), ('el', 5), ('bcl', 4), ('ax', 4)]"
z,"[('s', 63), ('z', 35), ('sh', 2)]"
eh,"[('eh', 32), ('ae', 18), ('ix', 14), ('ih', 8), ('r', 7)]"
eh,"[('r', 27), ('eh', 14), ('ae', 12), ('axr', 11), ('dx', 8)]"
iy,"[('iy', 59), ('ix', 13), ('ih', 9), ('ey', 8), ('ux', 5)]"
n,"[('ax', 25), ('l', 13), ('ix', 12), ('ah', 6), ('n', 5)]"
f,"[('f', 48), ('th', 17), ('dh', 13), ('s', 11), ('d', 3)]"
p,"[('p', 57), ('f', 8), ('b', 7), ('t', 6), ('k', 5)]"
ax,"[('ay', 15), ('ao', 13), ('aa', 10), ('m', 8), ('n', 7)]"
hv,"[('l', 17), ('w', 17), ('n', 11), ('m', 11), ('bcl', 9)]"
aa,"[('ae', 50), ('aa', 9), ('ay', 9), ('aw', 9), ('eh', 6)]"
pcl,"[('pcl', 55), ('tcl', 27), ('dcl', 8), ('bcl', 6), ('kcl', 2)]"
l,"[('l', 28), ('ax', 21), ('ah', 10), ('ow', 9), ('uh', 6)]"
l,"[('l', 37), ('ax', 24), ('el', 9), ('ow', 8), ('uh', 5)]"
w,"[('w', 87), ('l', 5), ('ao', 2), ('el', 1), ('bcl', 1)]"
iy,"[('iy', 55), ('ix', 15), ('ux', 8), ('ih', 6), ('y', 3)]"
ae,"[('ix', 20), ('ae', 17), ('eh', 16), ('ih', 9), ('r', 8)]"
dcl,"[('tcl', 41), ('pcl', 36), ('kcl', 14), ('dcl', 3), ('gcl', 3)]"
y,"[('iy', 71), ('y', 20), ('ix', 2), ('ey', 1), ('ih', 1)]"
w,"[('w', 68), ('l', 18), ('b', 3), ('ax', 2), ('v', 2)]"
ih,"[('ix', 20), ('dx', 18), ('d', 6), ('hv', 6), ('iy', 5)]"
tcl,"[('dcl', 20), ('dx', 11), ('kcl', 10), ('d', 10), ('gcl', 8)]"
s,"[('s', 71), ('tcl', 12), ('z', 9), ('t', 2), ('f', 2)]"
ax,"[('ix', 38), ('ax', 9), ('n', 8), ('dh', 6), ('v', 5)]"
n,"[('iy', 25), ('ix', 22), ('ih', 19), ('y', 8), ('dx', 6)]"
sh,"[('sh', 64), ('ch', 15), ('jh', 13), ('t', 5), ('tcl', 1)]"
t,"[('t', 59), ('d', 9), ('p', 9), ('k', 6), ('b', 3)]"
ix,"[('ix', 32), ('ax', 16), ('ih', 12), ('eh', 5), ('dx', 5)]"
ih,"[('ih', 35), ('ix', 24), ('iy', 16), ('ux', 11), ('ey', 6)]"
jh,"[('s', 24), ('jh', 24), ('sh', 22), ('ch', 17), ('t', 6)]"
ey,"[('ih', 18), ('ix', 17), ('iy', 16), ('ey', 16), ('ux', 7)]"
iy,"[('iy', 55), ('y', 15), ('ix', 9), ('ih', 7), ('q', 4)]"
b,"[('b', 26), ('p', 16), ('f', 13), ('dh', 13), ('d', 11)]"
ae,"[('ae', 60), ('eh', 17), ('ay', 9), ('ix', 7), ('ah', 3)]"
l,"[('l', 41), ('w', 29), ('el', 12), ('ax', 4), ('m', 3)]"
m,"[('m', 37), ('r', 12), ('n', 11), ('g', 10), ('l', 7)]"
t,"[('t', 33), ('f', 18), ('p', 9), ('k', 7), ('hh', 7)]"
p,"[('p', 43), ('t', 12), ('k', 12), ('hh', 11), ('d', 5)]"
t,"[('t', 70), ('f', 13), ('th', 7), ('tcl', 2), ('v', 2)]"
ae,"[('eh', 29), ('ae', 29), ('ih', 12), ('ix', 12), ('ey', 5)]"
eh,"[('eh', 25), ('ih', 19), ('ix', 16), ('ae', 9), ('axr', 6)]"
m,"[('m', 39), ('n', 16), ('ng', 7), ('iy', 6), ('gcl', 5)]"
ih,"[('iy', 39), ('ih', 21), ('ix', 12), ('y', 9), ('ey', 9)]"
er,"[('axr', 29), ('r', 18), ('er', 15), ('aa', 12), ('ix', 8)]"
t,"[('t', 39), ('d', 33), ('p', 11), ('b', 4), ('k', 4)]"
n,"[('dcl', 37), ('bcl', 14), ('v', 14), ('tcl', 10), ('gcl', 9)]"
l,"[('ix', 24), ('ey', 12), ('ay', 12), ('iy', 12), ('l', 9)]"
axr,"[('r', 37), ('axr', 19), ('aa', 17), ('er', 11), ('ah', 5)]"
iy,"[('iy', 55), ('ix', 11), ('n', 10), ('y', 6), ('ih', 6)]"
ae,"[('ae', 53), ('eh', 13), ('ix', 8), ('ah', 3), ('dx', 3)]"
l,"[('w', 37), ('l', 19), ('el', 14), ('ow', 11), ('ao', 9)]"
g,"[('k', 22), ('l', 19), ('p', 13), ('ao', 11), ('q', 5)]"
iy,"[('ix', 32), ('ih', 20), ('ux', 9), ('dx', 6), ('r', 6)]"
dcl,"[('dcl', 64), ('n', 13), ('gcl', 6), ('bcl', 5), ('tcl', 5)]"
tcl,"[('tcl', 24), ('kcl', 23), ('v', 12), ('dcl', 9), ('pcl', 8)]"
f,"[('f', 87), ('th', 6), ('v', 2), ('tcl', 2), ('t', 1)]"
gcl,"[('dcl', 35), ('kcl', 20), ('gcl', 19), ('tcl', 14), ('v', 7)]"
s,"[('s', 62), ('z', 37), ('t', 1)]"
m,"[('m', 34), ('n', 33), ('dh', 7), ('ux', 6), ('dcl', 3)]"
w,"[('m', 34), ('r', 9), ('uw', 8), ('w', 6), ('v', 5)]"
m,"[('n', 52), ('m', 15), ('ng', 13), ('en', 6), ('nx', 4)]"
f,"[('f', 79), ('th', 7), ('dh', 4), ('s', 2), ('v', 2)]"
r,"[('r', 42), ('er', 19), ('axr', 14), ('ix', 9), ('eh', 6)]"
m,"[('n', 49), ('m', 26), ('nx', 8), ('en', 8), ('ng', 5)]"
ix,"[('ix', 25), ('ih', 20), ('ey', 17), ('eh', 13), ('q', 5)]"
r,"[('r', 37), ('axr', 28), ('er', 17), ('dx', 5), ('ix', 3)]"
ae,"[('ae', 48), ('ay', 13), ('eh', 9), ('ax', 4), ('ah', 4)]"
y,"[('ix', 30), ('eh', 24), ('ih', 20), ('ae', 10), ('iy', 4)]"
dcl,"[('dcl', 55), ('gcl', 19), ('n', 5), ('bcl', 4), ('tcl', 3)]"
kcl,"[('kcl', 30), ('v', 20), ('tcl', 13), ('dcl', 10), ('gcl', 8)]"
iy,"[('iy', 51), ('ih', 11), ('y', 11), ('ix', 7), ('hv', 6)]"
s,"[('s', 65), ('z', 19), ('ch', 5), ('sh', 4), ('tcl', 3)]"
bcl,"[('dcl', 52), ('bcl', 20), ('gcl', 16), ('tcl', 5), ('dx', 2)]"
ch,"[('sh', 35), ('ch', 26), ('s', 18), ('jh', 7), ('tcl', 7)]"
ao,"[('ah', 22), ('ow', 18), ('ax', 18), ('eh', 12), ('aa', 5)]"
iy,"[('iy', 72), ('ix', 11), ('y', 10), ('ih', 4), ('ux', 2)]"
b,"[('n', 24), ('m', 14), ('dcl', 12), ('tcl', 8), ('gcl', 7)]"
k,"[('k', 43), ('p', 8), ('b', 8), ('ah', 6), ('d', 5)]"
t,"[('t', 29), ('sh', 24), ('d', 12), ('p', 11), ('ch', 5)]"
ey,"[('iy', 37), ('ih', 17), ('y', 13), ('ix', 12), ('ey', 11)]"
eh,"[('ae', 24), ('ay', 17), ('eh', 15), ('ah', 12), ('ix', 9)]"
ix,"[('ix', 33), ('n', 20), ('ih', 9), ('eh', 5), ('dh', 4)]"
ix,"[('iy', 39), ('ey', 19), ('ix', 16), ('ih', 11), ('q', 6)]"
en,"[('n', 59), ('m', 21), ('en', 5), ('ng', 5), ('gcl', 3)]"
er,"[('r', 44), ('er', 21), ('axr', 19), ('ux', 3), ('ix', 3)]"
tcl,"[('sh', 21), ('jh', 20), ('tcl', 17), ('z', 15), ('dcl', 14)]"
r,"[('r', 77), ('axr', 7), ('dx', 3), ('ax', 3), ('v', 2)]"
hh,"[('k', 60), ('hh', 19), ('g', 11), ('d', 2), ('hv', 2)]"
g,"[('k', 32), ('g', 19), ('p', 11), ('dx', 6), ('b', 4)]"
ux,"[('ih', 25), ('iy', 18), ('ix', 17), ('ey', 14), ('ux', 9)]"
b,"[('b', 33), ('bcl', 11), ('v', 9), ('w', 9), ('l', 8)]"
ae,"[('ae', 46), ('eh', 16), ('ah', 8), ('ay', 4), ('q', 4)]"
kcl,"[('kcl', 48), ('tcl', 28), ('pcl', 19), ('bcl', 4), ('dcl', 1)]"
d,"[('dx', 32), ('d', 11), ('n', 9), ('ix', 7), ('b', 7)]"
hh,"[('k', 54), ('d', 10), ('hh', 7), ('t', 5), ('g', 5)]"
v,"[('v', 29), ('r', 16), ('dx', 9), ('dh', 8), ('b', 7)]"
axr,"[('axr', 51), ('r', 27), ('er', 17), ('dx', 4), ('q', 1)]"
aa,"[('ay', 53), ('aa', 13), ('ae', 9), ('r', 6), ('ah', 5)]"
ay,"[('aa', 28), ('ay', 11), ('ao', 9), ('aw', 6), ('l', 6)]"
w,"[('v', 23), ('r', 22), ('w', 21), ('b', 10), ('m', 5)]"
l,"[('l', 47), ('el', 14), ('ow', 13), ('w', 8), ('ao', 8)]"
p,"[('f', 21), ('b', 19), ('p', 19), ('dh', 17), ('d', 8)]"
n,"[('n', 26), ('iy', 18), ('ix', 16), ('m', 8), ('ng', 7)]"
l,"[('l', 40), ('ax', 18), ('b', 10), ('dh', 5), ('ix', 5)]"
dh,"[('ax', 17), ('v', 16), ('dh', 15), ('m', 8), ('n', 7)]"
ae,"[('ae', 71), ('eh', 14), ('r', 2), ('hh', 2), ('ey', 2)]"
s,"[('s', 80), ('z', 14), ('t', 4), ('sh', 1), ('jh', 1)]"
el,"[('l', 39), ('w', 27), ('el', 18), ('ax', 8), ('ao', 2)]"
r,"[('r', 65), ('axr', 10), ('er', 9), ('w', 3), ('ao', 3)]"
z,"[('s', 77), ('z', 21), ('tcl', 2)]"
aa,"[('ae', 45), ('aa', 17), ('r', 9), ('eh', 7), ('ah', 7)]"
axr,"[('r', 47), ('axr', 27), ('dx', 7), ('er', 3), ('ax', 3)]"
t,"[('t', 33), ('k', 14), ('p', 12), ('d', 10), ('hh', 5)]"
dcl,"[('pcl', 28), ('dcl', 23), ('tcl', 17), ('bcl', 10), ('gcl', 9)]"
aa,"[('aa', 39), ('ah', 11), ('aw', 11), ('ao', 10), ('eh', 6)]"
n,"[('bcl', 36), ('n', 21), ('dcl', 9), ('ng', 7), ('w', 6)]"
s,"[('s', 85), ('z', 14), ('sh', 1)]"
ae,"[('ae', 24), ('ih', 19), ('ix', 18), ('eh', 15), ('hv', 4)]"
z,"[('s', 63), ('z', 35), ('t', 1), ('jh', 1)]"
l,"[('l', 34), ('w', 10), ('el', 8), ('ax', 7), ('ow', 7)]"
bcl,"[('ix', 17), ('dx', 14), ('r', 12), ('axr', 11), ('nx', 6)]"
ix,"[('ix', 34), ('iy', 18), ('ih', 13), ('ux', 11), ('dx', 7)]"
ih,"[('iy', 26), ('ix', 20), ('ih', 12), ('ae', 9), ('ey', 9)]"
ax,"[('ae', 25), ('eh', 17), ('ah', 15), ('ix', 11), ('ow', 10)]"
dcl,"[('bcl', 37), ('dcl', 28), ('pcl', 11), ('gcl', 10), ('v', 6)]"
k,"[('k', 67), ('g', 24), ('kcl', 3), ('hv', 2), ('gcl', 2)]"
n,"[('n', 55), ('m', 16), ('ng', 9), ('gcl', 5), ('en', 4)]"
dx,"[('v', 38), ('dx', 20), ('b', 14), ('r', 6), ('m', 5)]"
ix,"[('ay', 38), ('ah', 11), ('ax', 9), ('eh', 8), ('ix', 5)]"
d,"[('t', 29), ('k', 28), ('d', 9), ('f', 9), ('p', 8)]"
z,"[('s', 66), ('z', 32), ('tcl', 1), ('sh', 1)]"
kcl,"[('dh', 28), ('p', 14), ('b', 12), ('f', 9), ('kcl', 7)]"
n,"[('n', 52), ('ng', 16), ('m', 8), ('w', 6), ('iy', 3)]"
el,"[('ao', 28), ('l', 14), ('w', 13), ('el', 11), ('ow', 11)]"
ow,"[('w', 25), ('l', 23), ('ow', 18), ('el', 14), ('ax', 6)]"
jh,"[('sh', 55), ('jh', 21), ('ch', 15), ('zh', 4), ('dcl', 1)]"
iy,"[('iy', 43), ('ix', 17), ('y', 16), ('ux', 13), ('ih', 4)]"
f,"[('f', 47), ('p', 22), ('pcl', 11), ('tcl', 6), ('v', 3)]"
kcl,"[('pcl', 47), ('kcl', 21), ('tcl', 13), ('f', 9), ('bcl', 3)]"
ae,"[('ae', 61), ('eh', 13), ('ah', 6), ('ay', 5), ('aw', 4)]"
ay,"[('ay', 38), ('aa', 31), ('ao', 13), ('l', 4), ('ah', 4)]"
q,"[('ix', 24), ('iy', 20), ('ih', 17), ('q', 8), ('hv', 6)]"
dcl,"[('s', 58), ('z', 23), ('tcl', 7), ('t', 3), ('kcl', 3)]"
dh,"[('iy', 30), ('n', 16), ('dcl', 9), ('d', 9), ('y', 8)]"
eh,"[('ay', 17), ('r', 12), ('eh', 10), ('ae', 8), ('ix', 6)]"
f,"[('pcl', 33), ('f', 25), ('tcl', 17), ('kcl', 12), ('v', 4)]"
ix,"[('ae', 25), ('hv', 13), ('dh', 9), ('eh', 7), ('p', 7)]"
ey,"[('ey', 25), ('ae', 21), ('ih', 11), ('ix', 9), ('eh', 8)]"
n,"[('ix', 19), ('ax', 11), ('n', 10), ('dx', 7), ('eh', 7)]"
ow,"[('eh', 21), ('ae', 19), ('ay', 13), ('ah', 10), ('ix', 9)]"
n,"[('n', 51), ('m', 12), ('dcl', 10), ('ix', 5), ('en', 4)]"
m,"[('m', 52), ('n', 27), ('ng', 5), ('dcl', 3), ('bcl', 3)]"
hv,"[('hv', 28), ('sh', 12), ('p', 9), ('hh', 9), ('d', 8)]"
ix,"[('ih', 25), ('ix', 16), ('ux', 13), ('iy', 12), ('r', 9)]"
aw,"[('eh', 28), ('ah', 22), ('ae', 14), ('ax', 6), ('ih', 5)]"
ax,"[('ay', 24), ('r', 10), ('ax', 10), ('aa', 10), ('ah', 8)]"
th,"[('pcl', 31), ('kcl', 20), ('tcl', 10), ('th', 10), ('gcl', 6)]"
ix,"[('ix', 27), ('dx', 16), ('ih', 11), ('axr', 6), ('r', 5)]"
f,"[('f', 87), ('th', 4), ('kcl', 2), ('pcl', 2), ('sh', 2)]"
b,"[('p', 58), ('b', 18), ('k', 5), ('t', 5), ('f', 4)]"
ax,"[('ax', 38), ('ih', 13), ('l', 12), ('ix', 11), ('dh', 8)]"
tcl,"[('iy', 33), ('y', 11), ('hv', 11), ('gcl', 9), ('n', 7)]"
ux,"[('iy', 38), ('y', 31), ('ih', 10), ('ix', 5), ('hv', 5)]"
dcl,"[('dcl', 63), ('gcl', 18), ('tcl', 10), ('bcl', 7), ('q', 1)]"
k,"[('k', 63), ('p', 12), ('f', 7), ('t', 7), ('kcl', 5)]"
l,"[('l', 49), ('w', 28), ('el', 7), ('n', 4), ('v', 2)]"
ux,"[('ix', 24), ('ih', 22), ('iy', 9), ('ey', 7), ('eh', 6)]"
g,"[('g', 17), ('k', 14), ('aa', 14), ('ah', 8), ('ax', 7)]"
iy,"[('iy', 49), ('ux', 10), ('y', 10), ('ix', 9), ('ih', 4)]"
eh,"[('eh', 33), ('r', 28), ('ae', 11), ('er', 7), ('axr', 5)]"
b,"[('m', 20), ('n', 19), ('v', 18), ('bcl', 9), ('dcl', 6)]"
er,"[('axr', 36), ('r', 29), ('er', 21), ('dx', 5), ('eh', 3)]"
n,"[('dcl', 39), ('n', 31), ('gcl', 7), ('m', 5), ('tcl', 5)]"
kcl,"[('kcl', 81), ('tcl', 4), ('k', 3), ('f', 3), ('b', 2)]"
ch,"[('sh', 32), ('ch', 27), ('jh', 16), ('t', 10), ('tcl', 5)]"
ix,"[('ix', 36), ('ih', 34), ('eh', 6), ('ux', 5), ('ax', 3)]"
k,"[('k', 72), ('g', 10), ('p', 6), ('kcl', 4), ('t', 3)]"
y,"[('iy', 30), ('hv', 20), ('ix', 18), ('ih', 11), ('y', 9)]"
n,"[('ax', 33), ('l', 9), ('ix', 9), ('dh', 5), ('ah', 5)]"
kcl,"[('kcl', 42), ('pcl', 38), ('tcl', 17), ('f', 1), ('bcl', 1)]"
g,"[('k', 34), ('dh', 18), ('t', 12), ('p', 9), ('b', 9)]"
q,"[('ix', 25), ('iy', 20), ('ih', 17), ('ey', 15), ('ux', 7)]"
dcl,"[('dcl', 44), ('tcl', 26), ('gcl', 11), ('bcl', 8), ('pcl', 7)]"
n,"[('n', 50), ('m', 14), ('ng', 8), ('iy', 6), ('en', 4)]"
ih,"[('ax', 26), ('l', 19), ('ow', 13), ('uw', 8), ('w', 7)]"
p,"[('p', 67), ('k', 16), ('b', 6), ('dx', 3), ('f', 2)]"
hv,"[('hv', 28), ('iy', 15), ('d', 14), ('ih', 8), ('ix', 7)]"
r,"[('ix', 23), ('ih', 12), ('eh', 10), ('dx', 7), ('ax', 6)]"
g,"[('k', 65), ('g', 16), ('kcl', 4), ('hh', 2), ('n', 2)]"
ix,"[('ix', 28), ('iy', 24), ('ih', 18), ('ey', 13), ('q', 5)]"
ow,"[('ah', 24), ('ae', 23), ('eh', 17), ('ax', 7), ('ix', 7)]"
z,"[('tcl', 32), ('pcl', 20), ('kcl', 13), ('z', 13), ('v', 10)]"
tcl,"[('kcl', 23), ('tcl', 18), ('f', 10), ('dh', 9), ('t', 7)]"
ae,"[('ae', 25), ('eh', 18), ('ah', 15), ('ow', 5), ('ay', 5)]"
dx,"[('dcl', 51), ('dx', 17), ('tcl', 11), ('d', 5), ('n', 5)]"
dh,"[('b', 35), ('p', 17), ('dh', 15), ('dx', 7), ('v', 5)]"
n,"[('dh', 14), ('n', 12), ('b', 11), ('dx', 8), ('tcl', 7)]"
eh,"[('ae', 29), ('eh', 17), ('ix', 16), ('ax', 6), ('ay', 6)]"
tcl,"[('pcl', 36), ('tcl', 27), ('kcl', 17), ('f', 8), ('v', 3)]"
eh,"[('ix', 50), ('ih', 21), ('ax', 11), ('ux', 3), ('dh', 2)]"
gcl,"[('dcl', 38), ('gcl', 26), ('bcl', 17), ('tcl', 9), ('kcl', 3)]"
z,"[('z', 44), ('s', 36), ('d', 6), ('g', 2), ('th', 2)]"
n,"[('n', 56), ('m', 14), ('ng', 9), ('en', 4), ('gcl', 3)]"
dcl,"[('n', 31), ('dcl', 14), ('dx', 11), ('m', 9), ('nx', 6)]"
ah,"[('aa', 31), ('ay', 19), ('ax', 8), ('ao', 7), ('l', 7)]"
r,"[('r', 26), ('ae', 20), ('axr', 16), ('eh', 13), ('er', 12)]"
q,"[('eh', 29), ('ih', 18), ('ae', 15), ('q', 8), ('ix', 7)]"
ey,"[('iy', 52), ('ey', 29), ('ih', 10), ('ix', 4), ('ux', 2)]"
dcl,"[('dcl', 79), ('bcl', 12), ('tcl', 4), ('n', 2), ('gcl', 2)]"
b,"[('b', 46), ('v', 18), ('w', 12), ('r', 6), ('dh', 4)]"
ng,"[('n', 56), ('m', 14), ('ng', 10), ('tcl', 3), ('en', 3)]"
dcl,"[('dcl', 77), ('tcl', 16), ('dx', 3), ('gcl', 2), ('n', 1)]"
dh,"[('dh', 29), ('v', 16), ('bcl', 8), ('dcl', 8), ('p', 7)]"
iy,"[('ix', 24), ('ax', 18), ('ah', 11), ('ih', 10), ('nx', 7)]"
ax,"[('l', 43), ('ow', 17), ('ax', 15), ('el', 12), ('ah', 4)]"
v,"[('v', 33), ('b', 19), ('dh', 12), ('d', 6), ('p', 4)]"
ao,"[('l', 34), ('el', 22), ('ao', 16), ('w', 13), ('ow', 9)]"
ey,"[('ih', 21), ('eh', 16), ('ey', 15), ('ix', 14), ('ae', 11)]"
ao,"[('r', 31), ('aa', 20), ('ay', 16), ('ah', 10), ('axr', 7)]"
er,"[('r', 39), ('axr', 13), ('dx', 10), ('ix', 7), ('eh', 6)]"
ix,"[('r', 27), ('axr', 17), ('er', 13), ('ix', 12), ('ih', 6)]"
ng,"[('n', 60), ('m', 20), ('ng', 7), ('en', 6), ('nx', 3)]"
z,"[('s', 68), ('z', 17), ('sh', 8), ('tcl', 4), ('ch', 3)]"
dcl,"[('n', 23), ('gcl', 18), ('dcl', 12), ('m', 11), ('ix', 6)]"
w,"[('w', 37), ('l', 22), ('ao', 11), ('el', 7), ('ow', 4)]"
l,"[('l', 14), ('ax', 13), ('ix', 12), ('m', 11), ('v', 9)]"
eh,"[('ae', 30), ('eh', 27), ('ah', 18), ('aw', 6), ('ix', 4)]"
dcl,"[('dcl', 66), ('bcl', 18), ('gcl', 8), ('tcl', 7), ('dx', 1)]"
kcl,"[('kcl', 80), ('tcl', 14), ('pcl', 4), ('z', 1), ('gcl', 1)]"
dh,"[('d', 45), ('t', 17), ('p', 9), ('dx', 8), ('ix', 4)]"
g,"[('k', 40), ('g', 22), ('p', 13), ('b', 8), ('v', 5)]"
q,"[('f', 30), ('kcl', 23), ('p', 12), ('k', 10), ('b', 4)]"
dh,"[('dh', 20), ('ix', 17), ('v', 15), ('z', 9), ('gcl', 6)]"
tcl,"[('tcl', 30), ('kcl', 16), ('z', 15), ('dcl', 10), ('gcl', 9)]"
