True phone,1st predicted phone,2nd predicted phone,3rd predicted phone,4th predicted phone,5th predicted phone
pcl,pcl,tcl,f,kcl,dcl
tcl,tcl,pcl,f,kcl,dcl
eh,l,ao,ax,aa,ah
dcl,dcl,gcl,v,tcl,dh
ay,ay,ae,aa,ao,oy
z,f,sh,s,ch,t
t,s,z,t,d,tcl
iy,iy,ix,y,ih,ey
dcl,sh,s,ch,z,tcl
ax,l,ax,ih,uh,ix
ae,ae,ix,eh,ih,n
aa,aa,r,ao,axr,ax
b,iy,ix,ih,ey,dx
k,k,p,ao,g,aa
gcl,dcl,bcl,n,tcl,gcl
b,d,b,p,k,t
aw,ae,eh,ay,ix,ah
ow,ao,aa,l,r,q
g,b,v,p,g,k
l,l,w,b,ao,ax
w,w,l,el,ao,q
pcl,pcl,tcl,kcl,bcl,dcl
l,ow,ax,aa,ah,l
m,dcl,n,bcl,m,dh
dh,l,dh,v,ax,w
aa,aa,ao,ow,ay,ah
n,dcl,bcl,gcl,tcl,m
s,s,t,z,dh,d
ux,iy,ix,y,q,ih
f,f,th,tcl,pcl,s
d,f,th,t,v,s
er,r,axr,ix,eh,er
t,t,sh,f,ch,k
jh,sh,ch,jh,t,k
l,l,w,ao,ax,el
gcl,dcl,bcl,gcl,tcl,kcl
kcl,kcl,dcl,tcl,v,pcl
v,f,tcl,pcl,kcl,v
t,d,t,k,tcl,jh
tcl,tcl,kcl,pcl,bcl,f
n,n,ix,w,b,dh
dx,ax,ix,dx,nx,ah
el,l,ao,el,ow,ax
bcl,bcl,m,v,dcl,b
ae,ae,eh,ih,ah,ix
p,f,pcl,tcl,th,b
axr,ix,iy,ih,axr,dx
s,s,z,sh,tcl,jh
iy,iy,ix,y,ux,ih
y,ih,ix,iy,ux,y
s,s,z,sh,tcl,jh
jh,sh,jh,ch,tcl,s
w,w,l,ao,el,ow
ix,ix,eh,ae,ih,d
m,m,n,ng,en,bcl
g,d,b,dx,nx,k
ah,ae,eh,ix,ih,q
t,t,k,p,hh,d
n,bcl,n,dcl,m,w
n,n,m,ix,ng,nx
ix,ix,ih,iy,eh,ae
r,ax,r,aa,ao,ah
f,f,p,k,v,d
m,v,b,m,w,n
kcl,kcl,tcl,f,pcl,dcl
dx,dx,d,ix,dcl,ux
dh,dh,b,d,dx,p
m,n,dcl,m,dx,iy
eh,ix,ih,eh,ae,ax
dh,n,ax,m,l,nx
ao,ao,aa,l,ow,ax
iy,iy,y,ix,hv,n
nx,n,dx,ix,m,nx
dx,dx,ix,r,ih,iy
ih,ix,v,b,dx,n
ae,ae,ix,ih,eh,hv
kcl,kcl,f,pcl,tcl,p
eh,ae,eh,ih,ix,r
ng,m,n,bcl,v,w
hv,iy,ix,ih,dx,hv
s,s,z,tcl,None,None
pcl,pcl,tcl,f,dh,th
z,s,t,z,f,sh
tcl,f,kcl,pcl,tcl,b
l,l,w,el,ow,ao
ux,ix,v,m,dcl,dx
dcl,tcl,v,dcl,b,n
iy,iy,ix,ih,ey,dx
l,l,w,b,ao,ax
k,p,k,b,dh,g
ih,ix,ih,dx,v,r
ae,ae,eh,ay,ix,ah
iy,iy,ih,ix,y,ux
s,sh,s,jh,ch,z
axr,ix,n,dx,dh,m
s,s,z,t,jh,sh
dcl,tcl,dcl,pcl,bcl,gcl
ix,iy,ey,ix,ih,dx
ih,ih,iy,ix,ey,y
ah,ah,r,ow,eh,ay
k,k,g,p,t,hh
kcl,kcl,pcl,f,tcl,v
ah,ix,eh,ih,ax,ae
er,r,ix,axr,er,ih
ix,ix,ih,ey,iy,eh
ch,t,sh,ch,k,f
el,w,l,ao,el,ax
m,n,bcl,dcl,v,b
er,r,axr,l,w,v
r,r,er,axr,aa,eh
bcl,bcl,dcl,gcl,tcl,v
ay,ay,aa,ao,ah,l
l,l,ax,ow,w,uh
iy,ix,iy,axr,ih,dx
n,n,dcl,gcl,tcl,bcl
z,s,sh,jh,z,tcl
axr,ix,dx,r,axr,ih
axr,ae,eh,r,er,axr
r,r,axr,er,ix,eh
kcl,f,kcl,p,b,pcl
dx,dcl,dx,d,tcl,n
s,s,z,tcl,dcl,None
iy,iy,ix,ih,ey,ux
m,m,n,w,bcl,ng
ae,ey,eh,ix,ih,ae
jh,d,dcl,dx,jh,z
bcl,dcl,bcl,tcl,gcl,pcl
l,ax,m,r,l,ao
sh,sh,ch,jh,s,z
pcl,pcl,tcl,kcl,dcl,gcl
axr,axr,er,r,dx,ax
gcl,m,n,gcl,ng,ix
ih,ix,ih,ax,dx,d
sh,sh,f,t,s,ch
dx,iy,y,dx,ux,ih
bcl,m,w,v,bcl,gcl
r,r,ix,iy,axr,ih
m,m,n,iy,ux,v
iy,ix,ih,ey,eh,iy
ih,n,ix,eh,ae,ey
ix,ix,ih,eh,dh,dx
ax,l,b,ax,v,ow
ix,r,axr,ix,er,ax
ax-h,kcl,k,f,t,sh
dx,dcl,d,dx,b,tcl
n,ix,n,ih,m,dx
ax,l,ax,ow,uh,ah
